epoch,train_loss,train_ce,train_dice,val_loss,val_ce,val_dice,iou,precision,recall,encoder_frozen
0,0.08478099203262573,0.0956961645784541,0.07386581958868564,0.0426763579249382,0.05103801826343817,0.03431469763026518,0.9448756183538286,0.9687824574828506,0.9745478531895632,True
1,0.03969035083666826,0.049519511149861875,0.029861190380194247,0.03527235500514507,0.0443619319182985,0.02618277774137609,0.9507243845601856,0.9746023954325652,0.974877317832373,True
2,0.03514894436821978,0.04457534247229242,0.02572254614952283,0.03209027830949601,0.04004210737698218,0.024138449220096364,0.9543397650282924,0.9756218794719075,0.977653214754125,True
3,0.032853262941552025,0.04198056099315484,0.023725964880397177,0.0296044641010025,0.0379557334982297,0.02125319522969863,0.957445232478984,0.9813175629431108,0.9752215244681494,False
4,0.029008637591559663,0.03717585080263452,0.0208414244855571,0.028073816373944283,0.035961058812544626,0.020186574318829704,0.9596631050830123,0.9777597837755362,0.9810786665659695,False
5,0.02696204041250241,0.0345390688882679,0.01938501188897679,0.027837330979459427,0.03627934194005587,0.019395319854511935,0.9600534313701131,0.9784138572888343,0.9808284248699771,False
6,0.025497589878037446,0.032699194123857044,0.018295985715002076,0.027888983027899966,0.03578980982522754,0.019988156066221348,0.9601055588967505,0.9759342796981393,0.9833876522951038,False
7,0.024634442835027335,0.03161161061790255,0.0176572750776242,0.026803135904757417,0.034732769440640424,0.01887350222643684,0.9613265332206546,0.9829953904379988,0.9775835174027628,False
8,0.023792355485324167,0.03050220876167982,0.01708250218986446,0.02664317818468108,0.03518033354159664,0.0181060230030733,0.9618243978416451,0.9806721849578602,0.9804093800852912,False
9,0.022528497846080707,0.028864302782294078,0.016192692874843238,0.02693057455779875,0.0351857306983541,0.01867541846107034,0.9613591332768303,0.9782148930175718,0.9823918728317363,False
10,0.02235666829933468,0.028679087640255944,0.01603424895522941,0.026506553666994854,0.03494285430540057,0.018070253203896915,0.9617427184371526,0.9835392409124586,0.9774761421924539,False
11,0.021493256413656424,0.02759363462145512,0.01539287821859376,0.027746240202994907,0.036143181210055074,0.019349299458896414,0.959629472694244,0.983488518703985,0.9753431473639683,False
12,0.02121310365250987,0.02720792573104557,0.015218281644022363,0.026176998183569486,0.034344279842779914,0.018009716622969685,0.9628110564291755,0.9801259530291048,0.9819822489656326,False
13,0.02010552494539919,0.025792009861041337,0.014419040109357264,0.026285192770335603,0.03507471164578901,0.017495673544266645,0.9624534680972827,0.9838183413886451,0.977934417543038,False
14,0.01939233060544118,0.02484259982394357,0.013942061428330902,0.02658335486536517,0.035909226733972045,0.01725748286527746,0.9626283295093985,0.981244293784792,0.9806725842674068,False
15,0.019345757217170335,0.024776817543002275,0.013914696884970379,0.02646712463020402,0.03585109946263187,0.017083149797776167,0.9629348192989508,0.9836091103611359,0.9786384160379241,False
16,0.01865990328737813,0.023916705315693832,0.013403101354582697,0.026435558793737608,0.035312542774002344,0.017558574676513672,0.962423593768535,0.9798257199129504,0.9818805146757092,False
17,0.01815705466378703,0.023222665232407232,0.01309144405218271,0.027615603547105017,0.03775574800503605,0.017475459154914406,0.9620539112615193,0.9832478756155522,0.9780857454092998,False
18,0.01806436516344547,0.02311941332414619,0.013009317104633038,0.02699774420436691,0.03684904907884843,0.017146439412060906,0.9629973026841464,0.9773909009824265,0.9849379226016118,False
19,0.01781653592633641,0.022764271176141552,0.01286880073384342,0.025652087835923713,0.034469538160106714,0.016834637698005226,0.9639238828412307,0.9823778658909534,0.9808844560740134,False
20,0.0176489131572919,0.02253392865228602,0.012763897679809831,0.026887122399228462,0.03688238461994949,0.01689186026068295,0.963269082841804,0.9795096564971778,0.983078715950192,False
21,0.016752197846579248,0.021387216951857264,0.012117178725381183,0.027111817469053407,0.03780413241509129,0.01641950256684247,0.9636506678822353,0.9807435488482059,0.9822353867217817,False
22,0.016405181394109868,0.020964530154935317,0.011845832706516625,0.02972320074982503,0.04071475742932628,0.018731643873102524,0.9590141859242617,0.9787905543162617,0.9793663099367942,False
23,0.01644799467176199,0.02099612395032349,0.011899865386832473,0.02699285424040521,0.0371943948790431,0.0167913135360269,0.963368901301098,0.9796765640631222,0.9830145781038696,False
24,0.016250343219592022,0.020757169193691676,0.01174351720728426,0.02975614631329389,0.04182984619675314,0.01768244645174812,0.9604748828986572,0.9786532170880649,0.9810276772979891,False
25,0.01620673052329793,0.020677223252371337,0.011736237799000536,0.02759991677149254,0.03829511116970988,0.016904722241794363,0.9626829028252514,0.9803755065325755,0.9815986373025029,False
26,0.015222767445967239,0.019397234792510668,0.01104830014399993,0.02753603572902434,0.03856132261674194,0.016510748863220216,0.9633722336501088,0.9811307259037121,0.9815582901832912,False
27,0.015165619888048397,0.01933610365909134,0.010995136061285295,0.026692439604769736,0.03729092775679686,0.016093951113083784,0.9643899583185161,0.9825544529778895,0.9811909208816428,False
28,0.015115561525727439,0.019257220554237182,0.010973902441497542,0.02658918657723595,0.03671622465857688,0.01646214863833259,0.9637785316145105,0.981885308423261,0.9812253479421406,False
29,0.015029511793365336,0.01916114661969945,0.010897876971807236,0.02685524391777375,0.03795691831585239,0.015753569322473862,0.9649269787116577,0.9827229294375225,0.9815786789120251,False
